iter	Passed	Remaining
399	3209	4814
400	3216	4804
401	3218	4787
402	3220	4771
403	3224	4756
404	3231	4747
405	3234	4731
406	3236	4715
407	3239	4699
408	3247	4693
409	3250	4676
410	3252	4660
411	3255	4645
412	3264	4639
413	3266	4624
414	3269	4609
415	3282	4608
416	3285	4593
417	3288	4578
418	3297	4572
419	3300	4557
420	3302	4541
421	3311	4535
422	3314	4520
423	3316	4505
424	3318	4489
425	3327	4483
426	3329	4467
427	3332	4454
428	3335	4439
429	3344	4433
430	3347	4418
431	3350	4405
432	3354	4392
433	3356	4377
434	3360	4364
435	3362	4350
436	3365	4335
437	3367	4321
438	3372	4309
439	3374	4295
440	3376	4280
441	3378	4265
442	3381	4251
443	3390	4245
444	3393	4231
445	3395	4218
446	3402	4208
447	3405	4195
448	3407	4181
449	3411	4169
450	3416	4159
451	3420	4147
452	3422	4132
453	3424	4118
454	3426	4104
455	3433	4095
456	3436	4083
457	3439	4070
458	3441	4056
459	3449	4049
460	3451	4035
461	3453	4021
462	3455	4008
463	3458	3994
464	3465	3986
465	3467	3973
466	3469	3960
467	3472	3947
468	3479	3939
469	3481	3926
470	3483	3912
471	3485	3898
472	3487	3885
473	3488	3871
474	3495	3863
475	3496	3849
476	3498	3836
477	3500	3822
478	3502	3809
479	3503	3795
480	3507	3784
481	3510	3772
482	3520	3768
483	3522	3755
484	3525	3743
485	3533	3737
486	3535	3724
487	3538	3713
488	3541	3700
489	3550	3695
490	3553	3683
491	3582	3699
492	3584	3686
493	3587	3674
494	3589	3662
495	3601	3659
496	3603	3647
497	3611	3640
498	3613	3628
499	3617	3617
500	3620	3605
501	3625	3596
502	3628	3585
503	3630	3573
504	3633	3561
505	3635	3549
506	3644	3543
507	3646	3531
508	3649	3520
509	3651	3508
510	3660	3503
511	3662	3491
512	3671	3485
513	3674	3474
514	3676	3462
515	3688	3459
516	3690	3448
517	3694	3437
518	3703	3431
519	3706	3421
520	3710	3411
521	3720	3407
522	3723	3396
523	3725	3384
524	3735	3379
525	3737	3367
526	3739	3356
527	3748	3351
528	3750	3339
529	3753	3328
530	3821	3374
531	3832	3371
532	3835	3360
533	3844	3355
534	3848	3345
535	3851	3334
536	3863	3330
537	4078	3502
538	4083	3492
539	4085	3480
540	4095	3474
541	4097	3462
542	4108	3457
543	4114	3448
544	4117	3437
545	4123	3429
546	4141	3430
547	4144	3418
548	4147	3407
549	4150	3395
550	4156	3387
551	4160	3376
552	4163	3365
553	4169	3356
554	4172	3345
555	4174	3333
556	4177	3322
557	4179	3310
558	4188	3304
559	4190	3292
560	4192	3280
561	4194	3268
562	4203	3262
563	4205	3251
564	4207	3239
565	4210	3228
566	4217	3220
567	4219	3208
568	4221	3197
569	4222	3185
570	4224	3174
571	4232	3166
572	4234	3155
573	4239	3146
574	4248	3140
575	4250	3128
576	4252	3117
577	4254	3106
578	4261	3098
579	4263	3087
580	4265	3076
581	4267	3065
582	4269	3053
583	4275	3045
584	4278	3034
585	4279	3023
586	4281	3012
587	4283	3001
588	4285	2990
589	4288	2980
590	4291	2969
591	4292	2958
592	4295	2947
593	4296	2936
594	4303	2929
595	4305	2918
596	4307	2907
597	4309	2897
598	4311	2886
599	4319	2879
600	4321	2869
601	4323	2858
602	4325	2847
603	4327	2837
604	4332	2828
605	4335	2818
606	4338	2808
607	4348	2803
608	4350	2792
609	4351	2782
610	4353	2771
611	4360	2764
612	4362	2754
613	4364	2743
614	4366	2733
615	4368	2722
616	4374	2715
617	4376	2705
618	4378	2695
619	4380	2684
620	4382	2674
621	4383	2664
622	4387	2655
623	4389	2644
624	4391	2634
625	4393	2624
626	4394	2614
627	4401	2607
628	4403	2597
629	4406	2587
630	4407	2577
631	4409	2567
632	4548	2636
633	4550	2627
634	4552	2616
635	4554	2606
636	4555	2596
637	4557	2585
638	4558	2575
639	4563	2566
640	4569	2559
641	4580	2554
642	4583	2544
643	4590	2537
644	4625	2545
645	4628	2536
646	4638	2530
647	4641	2521
648	4644	2511
649	4655	2506
650	4657	2497
651	4661	2487
652	4672	2483
653	4674	2473
654	4679	2464
655	4808	2521
656	4811	2511
657	4889	2541
658	4908	2540
659	4910	2529
660	4913	2520
661	4915	2509
662	4928	2505
663	4930	2495
664	4932	2484
665	4950	2482
666	4968	2480
667	5076	2523
668	5085	2516
669	5087	2505
670	5089	2495
671	5092	2485
672	5094	2475
673	5096	2465
674	5098	2454
675	5102	2445
676	5106	2436
677	5108	2426
678	5110	2416
679	5112	2406
680	5114	2396
681	5118	2386
682	5121	2376
683	5123	2367
684	5125	2357
685	5127	2347
686	5129	2337
687	5132	2327
688	5134	2317
689	5136	2307
690	5138	2297
691	5141	2288
692	5143	2278
693	5145	2268
694	5147	2259
695	5149	2249
696	5197	2259
697	5207	2252
698	5209	2243
699	5212	2233
700	5214	2224
701	5339	2266
702	5341	2256
703	5354	2251
704	5358	2242
705	5370	2236
706	5373	2226
707	5658	2333
708	5660	2323
709	5669	2315
710	5672	2305
711	5675	2295
712	5710	2298
713	5732	2296
714	5735	2286
715	5737	2275
716	5740	2265
717	5742	2255
718	5750	2247
719	5752	2237
720	5754	2226
721	5756	2216
722	5764	2208
723	5766	2198
724	5769	2188
725	5771	2178
726	5773	2167
727	5777	2158
728	5778	2148
729	5780	2138
730	5782	2127
731	5784	2117
732	5788	2108
733	5790	2098
734	5791	2088
735	5793	2078
736	5795	2068
737	5800	2059
738	5803	2049
739	5805	2039
740	5806	2029
741	5808	2019
742	5810	2009
743	5815	2000
744	5817	1991
745	5819	1981
746	5825	1973
747	5836	1966
748	5837	1956
749	5839	1946
750	5841	1936
751	5848	1928
752	5850	1919
753	5852	1909
754	5853	1899
755	5855	1889
756	5857	1880
757	5860	1871
758	5862	1861
759	5864	1851
760	5865	1842
761	5867	1832
762	5874	1824
763	5876	1815
764	5877	1805
765	5879	1796
766	5881	1786
767	5882	1777
768	5889	1769
769	5891	1759
770	5892	1750
771	5894	1740
772	5896	1731
773	5898	1722
774	5902	1713
775	5903	1704
776	5905	1694
777	5907	1685
778	5909	1676
779	5915	1668
780	5917	1659
781	5919	1650
782	5920	1640
783	5922	1631
784	5924	1622
785	5929	1614
786	5932	1605
787	5934	1596
788	5935	1587
789	5937	1578
790	5939	1569
791	5944	1561
792	5947	1552
793	5949	1543
794	5951	1534
795	5962	1527
796	5964	1519
797	5966	1510
