iter	Passed	Remaining
403	1679	2477
404	1681	2470
405	1683	2462
406	1687	2459
407	1690	2452
408	1691	2444
409	1693	2436
410	1694	2428
411	1696	2421
412	1698	2414
413	1700	2406
414	1701	2398
415	1703	2391
416	1705	2383
417	1706	2376
418	1708	2368
419	1709	2361
420	1711	2353
421	1713	2347
422	1715	2340
423	1718	2333
424	1720	2327
425	1722	2320
426	1724	2313
427	1726	2308
428	1728	2301
429	1731	2295
430	1733	2288
431	1735	2282
432	1738	2276
433	1740	2269
434	1742	2263
435	1743	2255
436	1745	2248
437	1747	2242
438	1749	2235
439	1750	2228
440	1752	2221
441	1754	2214
442	1755	2207
443	1757	2201
444	1759	2194
445	1761	2188
446	1763	2181
447	1764	2174
448	1766	2168
449	1768	2161
450	1770	2155
451	1771	2148
452	1773	2141
453	1775	2135
454	1777	2128
455	1778	2121
456	1780	2115
457	1782	2108
458	1783	2102
459	1785	2095
460	1786	2089
461	1788	2082
462	1790	2076
463	1791	2069
464	1793	2063
465	1794	2056
466	1796	2050
467	1798	2044
468	1800	2037
469	1801	2031
470	1803	2025
471	1804	2018
472	1806	2012
473	1807	2006
474	1809	2000
475	1811	1994
476	1813	1988
477	1814	1981
478	1816	1975
479	1817	1969
480	1819	1963
481	1821	1957
482	1822	1951
483	1825	1945
484	1826	1939
485	1828	1933
486	1829	1927
487	1831	1921
488	1833	1915
489	1834	1909
490	1836	1903
491	1838	1897
492	1839	1891
493	1841	1886
494	1842	1880
495	1844	1874
496	1846	1868
497	1847	1862
498	1849	1856
499	1850	1850
500	1853	1845
501	1854	1839
502	1856	1834
503	1857	1828
504	1859	1822
505	1861	1817
506	1862	1811
507	1864	1805
508	1866	1800
509	1867	1794
510	1869	1788
511	1871	1783
512	1872	1777
513	1874	1772
514	1875	1766
515	1877	1761
516	1879	1755
517	1881	1750
518	1882	1744
519	1884	1739
520	1886	1734
521	1887	1728
522	1889	1723
523	1891	1717
524	1892	1712
525	1894	1707
526	1896	1702
527	1898	1696
528	1899	1691
529	1901	1685
530	1902	1680
531	1904	1675
532	1905	1669
533	1907	1664
534	1909	1659
535	1911	1654
536	1912	1649
537	1914	1644
538	1916	1638
539	1917	1633
540	1919	1628
541	1920	1623
542	1922	1618
543	1924	1613
544	1926	1607
545	1927	1602
546	1929	1597
547	1930	1592
548	1932	1587
549	1933	1582
550	1935	1577
551	1937	1572
552	1938	1567
553	1940	1562
554	1942	1557
555	1943	1552
556	1945	1547
557	1947	1542
558	1948	1537
559	1950	1532
560	1952	1527
561	1953	1522
562	1955	1517
563	1956	1512
564	1958	1507
565	1960	1503
566	1961	1498
567	1963	1493
568	1965	1488
569	1966	1483
570	1968	1478
571	1970	1474
572	1971	1469
573	1973	1464
574	1974	1459
575	1976	1454
576	1978	1450
577	1979	1445
578	1981	1440
579	1982	1435
580	1984	1431
581	1986	1426
582	1987	1421
583	1989	1416
584	1990	1412
585	1992	1407
586	1994	1403
587	1996	1398
588	1997	1393
589	1999	1389
590	2001	1384
591	2002	1380
592	2004	1375
593	2006	1371
594	2007	1366
595	2009	1362
596	2010	1357
597	2012	1352
598	2014	1348
599	2015	1343
600	2017	1339
601	2019	1334
602	2020	1330
603	2022	1325
604	2023	1321
605	2025	1316
606	2027	1312
607	2028	1307
608	2030	1303
609	2031	1299
610	2033	1294
611	2035	1290
612	2036	1285
613	2038	1281
614	2039	1277
615	2041	1272
616	2043	1268
617	2044	1263
618	2046	1259
619	2048	1255
620	2049	1251
621	2051	1246
622	2053	1242
623	2054	1238
624	2056	1233
625	2057	1229
626	2059	1225
627	2060	1220
628	2062	1216
629	2064	1212
630	2065	1208
631	2067	1203
632	2068	1199
633	2070	1195
634	2072	1191
635	2073	1186
636	2075	1182
637	2077	1178
638	2078	1174
639	2080	1170
640	2082	1166
641	2083	1161
642	2085	1157
643	2086	1153
644	2088	1149
645	2092	1146
646	2094	1142
647	2096	1138
648	2097	1134
649	2099	1130
650	2100	1126
651	2102	1122
652	2108	1120
653	2110	1116
654	2113	1113
655	2115	1109
656	2118	1106
657	2121	1102
658	2122	1098
659	2124	1094
660	2126	1090
661	2127	1086
662	2129	1082
663	2130	1078
664	2133	1075
665	2136	1071
666	2137	1067
667	2139	1063
668	2141	1059
669	2142	1055
670	2144	1051
671	2146	1047
672	2148	1043
673	2150	1039
674	2151	1035
675	2153	1032
676	2154	1028
677	2156	1024
678	2158	1020
679	2160	1016
680	2162	1012
681	2163	1008
682	2165	1005
683	2167	1001
684	2168	997
685	2170	993
686	2171	989
687	2173	985
688	2175	982
689	2177	978
690	2178	974
691	2180	970
692	2182	966
693	2183	962
694	2185	959
695	2188	955
696	2189	951
697	2191	948
698	2193	944
699	2194	940
700	2196	936
701	2197	933
702	2199	929
703	2201	925
704	2203	921
705	2204	917
706	2205	914
707	2207	910
708	2208	906
709	2210	902
710	2212	899
711	2214	895
712	2215	891
713	2218	888
714	2220	884
715	2221	881
716	2223	877
717	2225	873
718	2226	870
719	2228	866
720	2230	863
721	2231	859
722	2233	855
723	2235	852
724	2236	848
725	2238	844
726	2239	841
727	2241	837
728	2243	833
729	2244	830
730	2246	826
731	2247	823
732	2249	819
733	2251	815
734	2252	812
735	2254	808
736	2256	805
737	2257	801
738	2259	797
739	2260	794
740	2262	790
741	2264	787
742	2265	783
743	2267	780
744	2269	776
745	2270	773
746	2272	769
747	2274	766
748	2275	762
749	2277	759
750	2278	755
751	2280	752
752	2282	748
753	2283	745
754	2285	741
755	2287	738
756	2288	734
757	2290	731
758	2291	727
759	2293	724
760	2294	720
761	2296	717
762	2298	713
763	2299	710
764	2301	707
765	2303	703
766	2304	700
767	2306	696
768	2307	693
769	2309	689
770	2311	686
771	2313	683
772	2314	679
773	2316	676
774	2317	672
775	2319	669
776	2320	666
777	2322	662
778	2324	659
779	2325	656
780	2327	652
781	2329	649
782	2330	645
783	2332	642
784	2333	639
785	2335	635
786	2337	632
787	2338	629
788	2340	625
789	2342	622
790	2343	619
791	2345	615
792	2346	612
793	2348	609
794	2349	605
795	2352	602
796	2353	599
797	2355	596
798	2356	592
799	2358	589
800	2360	586
801	2361	583
802	2363	579
803	2365	576
804	2366	573
805	2368	570
806	2370	566
807	2371	563
808	2373	560
809	2374	557
810	2376	553
811	2377	550
812	2379	547
813	2381	544
814	2383	540
815	2384	537
816	2386	534
817	2387	531
818	2389	527
819	2390	524
820	2392	521
821	2394	518
822	2395	515
823	2397	512
824	2398	508
825	2400	505
826	2401	502
827	2403	499
828	2405	496
829	2406	492
830	2408	489
831	2410	486
832	2411	483
833	2413	480
834	2414	477
835	2416	474
836	2418	470
837	2419	467
838	2421	464
839	2423	461
840	2425	458
841	2426	455
842	2428	452
843	2429	449
844	2431	446
845	2433	442
846	2435	439
847	2436	436
848	2438	433
849	2439	430
850	2441	427
851	2443	424
852	2444	421
853	2446	418
854	2448	415
855	2450	412
856	2452	409
857	2453	406
858	2455	403
859	2456	399
860	2458	396
861	2460	393
862	2462	390
863	2464	387
864	2465	384
865	2467	381
866	2469	378
867	2470	375
868	2472	372
869	2473	369
870	2475	366
871	2477	363
872	2478	360
873	2480	357
874	2482	354
875	2483	351
876	2485	348
877	2487	345
878	2488	342
879	2491	339
880	2493	336
881	2494	333
882	2496	330
883	2497	327
884	2499	324
885	2501	321
886	2502	318
887	2504	315
888	2506	312
889	2507	309
890	2509	306
891	2510	304
892	2512	301
893	2514	298
894	2515	295
895	2517	292
896	2519	289
897	2521	286
898	2522	283
899	2524	280
900	2525	277
901	2527	274
902	2529	271
903	2530	268
904	2532	265
905	2534	262
906	2535	260
907	2537	257
908	2539	254
909	2540	251
910	2542	248
911	2544	245
912	2545	242
913	2547	239
914	2548	236
915	2550	233
916	2552	230
917	2553	228
918	2555	225
919	2560	222
920	2562	219
921	2564	216
922	2565	214
923	2567	211
924	2569	208
925	2570	205
926	2574	202
927	2575	199
928	2577	196
929	2578	194
930	2580	191
931	2582	188
932	2583	185
933	2587	182
934	2588	179
935	2590	177
936	2592	174
937	2594	171
938	2596	168
939	2598	165
940	2601	163
941	2603	160
942	2606	157
943	2608	154
944	2610	151
945	2611	149
946	2613	146
947	2615	143
948	2617	140
949	2618	137
950	2620	135
951	2621	132
952	2623	129
953	2625	126
954	2626	123
955	2628	120
956	2630	118
957	2631	115
958	2633	112
959	2635	109
960	2636	107
961	2638	104
962	2639	101
963	2641	98
964	2643	95
965	2645	93
966	2646	90
967	2648	87
968	2649	84
969	2651	82
970	2652	79
971	2654	76
972	2656	73
973	2658	70
974	2659	68
975	2661	65
976	2662	62
977	2665	59
978	2666	57
979	2668	54
980	2670	51
981	2672	48
982	2673	46
983	2675	43
984	2677	40
985	2678	38
986	2680	35
987	2681	32
988	2683	29
989	2685	27
990	2686	24
991	2688	21
992	2689	18
993	2691	16
994	2692	13
995	2694	10
996	2696	8
997	2698	5
998	2699	2
999	2701	0
